State,County,Collection Date,Date Detected,HPAI Strain,Bird Species,WOAH Classification,Sampling Method,Submitting Agency
Minnesota,Scott,3/20/2025,4/21/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Ohio,Ottawa,3/25/2025,4/15/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Ohio,Ottawa,3/25/2025,4/15/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Minnesota,Scott,3/27/2025,4/15/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Minnesota,Scott,3/27/2025,4/15/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Minnesota,Scott,3/27/2025,4/15/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Minnesota,Scott,3/27/2025,4/15/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Minnesota,Scott,3/27/2025,4/15/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Minnesota,Scott,3/27/2025,4/15/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Minnesota,Scott,3/27/2025,4/15/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Minnesota,Scott,3/27/2025,4/15/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Minnesota,Scott,3/27/2025,4/15/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Minnesota,Scott,3/27/2025,4/15/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Minnesota,Scott,3/27/2025,4/15/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Minnesota,Scott,3/27/2025,4/15/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Minnesota,Scott,3/27/2025,4/15/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Minnesota,Scott,3/27/2025,4/15/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Minnesota,Scott,3/27/2025,4/15/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Minnesota,Scott,3/27/2025,4/15/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Minnesota,Scott,3/27/2025,4/15/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Minnesota,Scott,3/27/2025,4/15/2025,EA H5N1,Mallard,Wild bird,Live bird,NWDP
Minnesota,Scott,3/27/2025,4/15/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Minnesota,Scott,3/27/2025,4/15/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Minnesota,Scott,3/27/2025,4/15/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Minnesota,Scott,3/27/2025,4/15/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Minnesota,Scott,3/27/2025,4/15/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Minnesota,Scott,3/27/2025,4/15/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
Minnesota,Scott,3/27/2025,4/15/2025,EA H5,Mallard,Wild bird,Live bird,NWDP
